"Technique_Used","training_R_squared","test_R_squared"
"Multiple Linear Regression","0.850374697633797","0.739284690924038"
"Principal Component Regression","0.65294137366162","0.323513145598332"
"Partial Least Square","0.820468705342475","0.74318952084725"
"Ridge Regression","0.844820736847221","0.737820568217241"
"Lasso Regression","0.849121444011711","0.744256570563202"
"Support Vector Regression","0.914384400190953","0.533478437307704"
"Gaussian Process Regression","0.876992494473571","0.371618318001383"
"Random Forest Regression","0.958520088017157","0.696804352286065"
